date,campaign_id,campaign_name,ad_group_id,ad_group_name,impressions,clicks,cost,conversions,conversion_value,ctr,avg_cpc,quality_score,search_impression_share
1/1/2024,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,23456,1234,234.5,45,2250,0.0526,0.19,9,0.92
1/1/2024,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,45678,890,567.8,23,1150,0.0195,0.64,7,0.45
1/1/2024,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,67890,2345,423.6,67,3350,0.0345,0.18,8,0.67
1/2/2024,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,24567,1289,245.6,48,2400,0.0525,0.19,9,0.91
1/2/2024,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,43234,823,534.2,21,1050,0.019,0.65,7,0.44
1/2/2024,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,71234,2456,445.8,71,3550,0.0345,0.18,8,0.68
1/3/2024,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,22345,1123,213.4,42,2100,0.0503,0.19,9,0.93
1/3/2024,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,47890,967,623.5,25,1250,0.0202,0.64,6,0.43
1/3/2024,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,123456,456,123.4,12,600,0.0037,0.27,7,0.35
1/4/2024,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,25678,1345,256.7,50,2500,0.0524,0.19,9,0.92
1/4/2024,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,69456,2234,412.3,65,3250,0.0322,0.18,8,0.66
1/4/2024,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,134567,489,134.5,14,700,0.0036,0.28,7,0.36
1/5/2024,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,23890,1234,234.9,46,2300,0.0517,0.19,9,0.91
1/5/2024,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,46234,912,589.3,24,1200,0.0197,0.65,7,0.45
1/5/2024,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,128901,467,128.9,13,650,0.0036,0.28,7,0.34
1/6/2024,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,24234,1267,241.2,47,2350,0.0523,0.19,9,0.92
1/6/2024,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,72345,2378,432.9,69,3450,0.0329,0.18,8,0.67
1/6/2024,g_5004,Display_Remarketing,gad_6004,Cart_Abandoners,131234,478,132.4,13,650,0.0036,0.28,7,0.35
1/7/2024,g_5001,Search_Brand_Terms,gad_6001,Brand_Exact,26789,1456,278.9,54,2700,0.0544,0.19,9,0.93
1/7/2024,g_5002,Search_Generic_Terms,gad_6002,Product_Broad,44567,878,567.2,22,1100,0.0197,0.65,6,0.44
1/7/2024,g_5003,Shopping_All_Products,gad_6003,Best_Sellers,70234,2289,419.5,66,3300,0.0326,0.18,8,0.66
